Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label,Latitude,Longitude,Hotspot_Zone,City,Withdrawal_Window_Min
TXN_12447,USER_2617,254.32,ATM Withdrawal,2023-12-07 00:31:00,76807.2,Tablet,New York,Clothing,0,0,8,182.48,4,Visa,76,1311.86,OTP,0.7935,0,1,23.041823550130385,72.57330523937327,Ashram Road Financial Hub,Ahmedabad,28.0
TXN_49498,USER_4660,7.08,ATM Withdrawal,2023-02-25 03:43:00,45826.27,Tablet,London,Restaurants,0,0,3,164.38,4,Discover,182,1764.66,Biometric,0.5326,0,1,23.030541383259333,72.55684438120868,CG Road (Navrangpura),Ahmedabad,40.0
TXN_4144,USER_1584,34.25,ATM Withdrawal,2023-03-09 22:51:00,94392.35,Tablet,Tokyo,Clothing,0,0,7,90.02,3,Visa,24,550.38,Biometric,0.1347,1,0,23.03299376915118,72.50023224849416,None,Ahmedabad,
TXN_38695,USER_6860,50.44,ATM Withdrawal,2023-08-06 08:22:00,19962.22,Laptop,London,Travel,0,0,14,278.55,1,Discover,131,3993.62,PIN,0.4582,0,0,22.965832422647463,72.54650878390918,None,Ahmedabad,
TXN_6188,USER_6728,55.5,ATM Withdrawal,2023-07-20 03:10:00,89664.63,Laptop,London,Groceries,0,0,6,483.58,4,Discover,192,3721.54,OTP,0.5837,0,1,23.0541513680565,72.5131085427621,SG Highway (Sindhu Bhavan),Ahmedabad,21.0
TXN_6113,USER_5566,22.02,ATM Withdrawal,2023-12-28 04:45:00,55851.38,Mobile,Sydney,Electronics,0,0,13,179.73,3,Visa,204,633.99,PIN,0.1305,1,0,22.925113599170455,72.58911757216383,None,Ahmedabad,
TXN_15908,USER_4615,203.97,ATM Withdrawal,2023-06-18 23:36:00,73616.91,Mobile,New York,Restaurants,1,0,4,482.2,4,Mastercard,173,4723.22,Password,0.8633,1,1,23.030454593562755,72.55513535938337,CG Road (Navrangpura),Ahmedabad,44.0
TXN_15118,USER_9751,17.17,ATM Withdrawal,2023-11-25 07:35:00,71983.33,Mobile,Sydney,Electronics,0,0,2,36.46,2,Mastercard,165,3402.37,PIN,0.0233,0,0,23.06392345083444,72.65518158200771,None,Ahmedabad,
TXN_13466,USER_9775,72.33,ATM Withdrawal,2023-08-14 21:55:00,29954.64,Mobile,Sydney,Clothing,0,0,3,233.6,4,Discover,120,3956.54,Password,0.408,1,1,23.03238320539295,72.55585522721563,CG Road (Navrangpura),Ahmedabad,42.0
TXN_37237,USER_1116,8.06,ATM Withdrawal,2023-07-09 22:27:00,38155.13,Laptop,Sydney,Travel,0,0,9,298.73,4,Mastercard,232,1819.59,Password,0.4784,0,1,23.085810653351988,72.66134118660702,None,Ahmedabad,36.0
TXN_5503,USER_7666,56.45,ATM Withdrawal,2023-08-22 00:16:00,1525.05,Mobile,Mumbai,Restaurants,0,0,8,277.53,3,Amex,103,1031.7,Password,0.6745,0,0,23.057711912830435,72.51328107671618,None,Ahmedabad,
TXN_49717,USER_5843,127.57,ATM Withdrawal,2023-04-12 10:16:00,43073.71,Laptop,London,Travel,0,0,7,139.86,0,Visa,228,3424.04,OTP,0.7918,1,0,22.91993937687462,72.58537553657672,None,Ahmedabad,
TXN_30263,USER_8150,11.77,ATM Withdrawal,2023-11-10 20:46:00,42891.23,Mobile,London,Groceries,0,1,5,434.42,4,Discover,106,1296.27,Biometric,0.7972,1,1,23.03149596562927,72.55598308869726,CG Road (Navrangpura),Ahmedabad,27.0
TXN_17523,USER_4369,70.81,ATM Withdrawal,2023-10-08 19:40:00,99005.13,Tablet,Mumbai,Electronics,0,0,3,362.81,3,Visa,211,3089.62,Biometric,0.5454,1,0,23.01877785814837,72.65423717241529,None,Ahmedabad,
TXN_40485,USER_1299,92.27,ATM Withdrawal,2023-08-31 05:34:00,69161.25,Mobile,Mumbai,Travel,0,0,14,296.52,4,Mastercard,185,4627.43,Password,0.9537,0,1,23.107681157395554,72.58865900713548,None,Ahmedabad,25.0
TXN_3850,USER_5589,112.72,ATM Withdrawal,2023-02-24 10:48:00,85678.68,Tablet,London,Clothing,0,0,5,403.13,3,Discover,64,229.77,Biometric,0.1398,0,0,23.025928397729636,72.62223204997984,None,Ahmedabad,
TXN_40040,USER_4320,213.77,ATM Withdrawal,2023-09-12 12:46:00,44775.66,Mobile,Mumbai,Clothing,0,0,11,449.66,2,Amex,179,3352.98,Password,0.1848,1,0,23.097325391719703,72.56381362937852,None,Ahmedabad,
TXN_17240,USER_7599,29.6,ATM Withdrawal,2023-01-07 17:23:00,91272.39,Mobile,London,Groceries,0,1,5,423.67,3,Amex,132,3869.54,Biometric,0.4975,0,0,23.041953580983773,72.47725874038913,None,Ahmedabad,
TXN_48492,USER_1296,25.38,ATM Withdrawal,2023-12-10 06:24:00,48704.75,Tablet,Sydney,Clothing,1,0,7,115.09,3,Mastercard,168,3408.27,PIN,0.3222,0,0,23.087058134379216,72.58344177281919,None,Ahmedabad,
TXN_26803,USER_8825,394.62,ATM Withdrawal,2023-11-12 01:51:00,71321.68,Mobile,Sydney,Restaurants,0,0,7,316.12,0,Discover,68,2684.63,Password,0.6492,0,0,23.039218270624282,72.67775970065303,None,Ahmedabad,
TXN_8270,USER_5180,21.33,ATM Withdrawal,2023-06-24 01:10:00,96219.67,Tablet,New York,Clothing,0,0,2,159.98,0,Discover,77,1837.58,Biometric,0.1647,1,0,23.003088779614806,72.48826535474505,None,Ahmedabad,
TXN_36056,USER_5231,40.64,ATM Withdrawal,2023-07-23 14:46:00,76016.81,Mobile,London,Electronics,0,0,5,359.54,1,Amex,128,620.67,PIN,0.6901,0,0,22.96284695257824,72.52393354190302,None,Ahmedabad,
TXN_29226,USER_6333,77.02,ATM Withdrawal,2023-04-11 04:53:00,35240.55,Tablet,Mumbai,Travel,0,0,10,232.91,0,Discover,194,3686.61,OTP,0.4556,0,0,23.07291931981833,72.47734060937739,None,Ahmedabad,
TXN_1812,USER_9555,31.32,ATM Withdrawal,2023-12-27 23:35:00,11082.48,Tablet,London,Travel,0,0,11,68.46,3,Visa,31,2672.02,PIN,0.491,1,0,23.076157597813985,72.51673550408339,None,Ahmedabad,
TXN_15727,USER_9104,22.51,ATM Withdrawal,2023-05-12 15:42:00,1651.62,Tablet,London,Restaurants,0,0,2,470.64,0,Amex,23,205.3,Biometric,0.4306,1,0,23.016216445622028,72.64670821728258,None,Ahmedabad,
TXN_29600,USER_3053,35.93,ATM Withdrawal,2023-09-06 22:45:00,83856.0,Laptop,Tokyo,Electronics,0,1,7,233.36,2,Amex,167,1550.67,PIN,0.6015,0,0,23.027399474834414,72.53394714173793,None,Ahmedabad,
TXN_25768,USER_2530,263.8,ATM Withdrawal,2023-10-10 03:48:00,94812.91,Tablet,Tokyo,Clothing,0,0,3,476.31,2,Visa,139,1300.58,OTP,0.8601,0,1,23.029923211438376,72.55537432970411,CG Road (Navrangpura),Ahmedabad,31.0
TXN_35539,USER_1081,4.97,ATM Withdrawal,2023-08-21 21:55:00,19504.57,Tablet,Mumbai,Clothing,0,0,8,394.36,3,Mastercard,205,3639.03,Password,0.3491,0,0,22.960357292130062,72.59243680435151,None,Ahmedabad,
TXN_17840,USER_8784,180.62,ATM Withdrawal,2023-07-05 08:50:00,53345.96,Tablet,Sydney,Travel,0,0,4,47.79,2,Discover,90,3326.17,Password,0.6589,0,0,23.08877106446473,72.5542686588799,None,Ahmedabad,
TXN_27802,USER_1446,140.6,ATM Withdrawal,2023-09-26 17:13:00,13935.49,Tablet,Sydney,Clothing,0,0,9,227.36,1,Mastercard,200,2864.87,PIN,0.7153,0,0,22.98226376887442,72.59550174361294,None,Ahmedabad,
TXN_7682,USER_5144,231.35,ATM Withdrawal,2023-09-11 11:35:00,92933.91,Laptop,Tokyo,Groceries,0,0,8,478.76,1,Visa,34,2273.51,Password,0.1123,1,0,22.94834298883175,72.61162905856833,None,Ahmedabad,
